simulation_id,mode,seed,num_ranks,num_blocks,replication_level,failures_until_data_loss
indep-ranks-rankwise,rank,1,10,100000000,3,7
indep-ranks-rankwise,rank,2,10,100000000,3,4
indep-ranks-rankwise,rank,3,10,100000000,3,4
indep-ranks-rankwise,rank,4,10,100000000,3,6
indep-ranks-rankwise,rank,5,10,100000000,3,7
indep-ranks-rankwise,rank,6,10,100000000,3,5
indep-ranks-rankwise,rank,7,10,100000000,3,7
indep-ranks-rankwise,rank,8,10,100000000,3,7
indep-ranks-rankwise,rank,9,10,100000000,3,3
indep-ranks-rankwise,rank,0,100,100000000,3,21
indep-ranks-rankwise,rank,1,100,100000000,3,21
indep-ranks-rankwise,rank,2,100,100000000,3,13
indep-ranks-rankwise,rank,3,100,100000000,3,19
indep-ranks-rankwise,rank,4,100,100000000,3,9
indep-ranks-rankwise,rank,5,100,100000000,3,31
indep-ranks-rankwise,rank,6,100,100000000,3,18
indep-ranks-rankwise,rank,7,100,100000000,3,11
indep-ranks-rankwise,rank,8,100,100000000,3,35
indep-ranks-rankwise,rank,9,100,100000000,3,25
indep-ranks-rankwise,rank,0,1000,100000000,3,91
indep-ranks-rankwise,rank,1,1000,100000000,3,91
indep-ranks-rankwise,rank,2,1000,100000000,3,105
indep-ranks-rankwise,rank,3,1000,100000000,3,116
indep-ranks-rankwise,rank,4,1000,100000000,3,127
indep-ranks-rankwise,rank,5,1000,100000000,3,101
indep-ranks-rankwise,rank,6,1000,100000000,3,101
indep-ranks-rankwise,rank,7,1000,100000000,3,56
indep-ranks-rankwise,rank,8,1000,100000000,3,74
indep-ranks-rankwise,rank,9,1000,100000000,3,52
indep-ranks-rankwise,rank,0,10000,100000000,3,430
indep-ranks-rankwise,rank,1,10000,100000000,3,430
indep-ranks-rankwise,rank,2,10000,100000000,3,164
indep-ranks-rankwise,rank,3,10000,100000000,3,263
indep-ranks-rankwise,rank,4,10000,100000000,3,38
indep-ranks-rankwise,rank,5,10000,100000000,3,315
indep-ranks-rankwise,rank,6,10000,100000000,3,556
indep-ranks-rankwise,rank,7,10000,100000000,3,473
indep-ranks-rankwise,rank,8,10000,100000000,3,566
indep-ranks-rankwise,rank,9,10000,100000000,3,471
indep-ranks-rankwise,rank,0,100000,100000000,3,1057
indep-ranks-rankwise,rank,1,100000,100000000,3,1057
indep-ranks-rankwise,rank,2,100000,100000000,3,722
indep-ranks-rankwise,rank,3,100000,100000000,3,2382
indep-ranks-rankwise,rank,4,100000,100000000,3,2066
indep-ranks-rankwise,rank,5,100000,100000000,3,2107
indep-ranks-rankwise,rank,6,100000,100000000,3,2203
indep-ranks-rankwise,rank,7,100000,100000000,3,2282
indep-ranks-rankwise,rank,8,100000,100000000,3,1661
indep-ranks-rankwise,rank,9,100000,100000000,3,775
indep-ranks-rankwise,rank,0,1000000,100000000,3,7591
indep-ranks-rankwise,rank,1,1000000,100000000,3,7591
indep-ranks-rankwise,rank,2,1000000,100000000,3,7936
indep-ranks-rankwise,rank,3,1000000,100000000,3,9127
indep-ranks-rankwise,rank,4,1000000,100000000,3,13440
indep-ranks-rankwise,rank,5,1000000,100000000,3,10268
indep-ranks-rankwise,rank,6,1000000,100000000,3,12507
indep-ranks-rankwise,rank,7,1000000,100000000,3,7553
indep-ranks-rankwise,rank,8,1000000,100000000,3,9629
indep-ranks-rankwise,rank,9,1000000,100000000,3,8781
indep-ranks-rankwise,rank,0,10,100000000,4,6
indep-ranks-rankwise,rank,1,10,100000000,4,6
indep-ranks-rankwise,rank,2,10,100000000,4,7
indep-ranks-rankwise,rank,3,10,100000000,4,6
indep-ranks-rankwise,rank,4,10,100000000,4,5
indep-ranks-rankwise,rank,5,10,100000000,4,6
indep-ranks-rankwise,rank,6,10,100000000,4,7
indep-ranks-rankwise,rank,7,10,100000000,4,6
indep-ranks-rankwise,rank,8,10,100000000,4,7
indep-ranks-rankwise,rank,9,10,100000000,4,7
indep-ranks-rankwise,rank,0,100,100000000,4,47
indep-ranks-rankwise,rank,1,100,100000000,4,47
indep-ranks-rankwise,rank,2,100,100000000,4,34
indep-ranks-rankwise,rank,3,100,100000000,4,42
indep-ranks-rankwise,rank,4,100,100000000,4,44
indep-ranks-rankwise,rank,5,100,100000000,4,60
indep-ranks-rankwise,rank,6,100,100000000,4,31
indep-ranks-rankwise,rank,7,100,100000000,4,46
indep-ranks-rankwise,rank,8,100,100000000,4,46
indep-ranks-rankwise,rank,9,100,100000000,4,43
indep-ranks-rankwise,rank,0,1000,100000000,4,124
indep-ranks-rankwise,rank,1,1000,100000000,4,124
indep-ranks-rankwise,rank,2,1000,100000000,4,323
indep-ranks-rankwise,rank,3,1000,100000000,4,227
indep-ranks-rankwise,rank,4,1000,100000000,4,263
indep-ranks-rankwise,rank,5,1000,100000000,4,226
indep-ranks-rankwise,rank,6,1000,100000000,4,77
indep-ranks-rankwise,rank,7,1000,100000000,4,154
indep-ranks-rankwise,rank,8,1000,100000000,4,291
indep-ranks-rankwise,rank,9,1000,100000000,4,238
indep-ranks-rankwise,rank,0,10000,100000000,4,486
indep-ranks-rankwise,rank,1,10000,100000000,4,486
indep-ranks-rankwise,rank,2,10000,100000000,4,1414
indep-ranks-rankwise,rank,3,10000,100000000,4,1711
indep-ranks-rankwise,rank,4,10000,100000000,4,1137
indep-ranks-rankwise,rank,5,10000,100000000,4,1713
indep-ranks-rankwise,rank,6,10000,100000000,4,996
indep-ranks-rankwise,rank,7,10000,100000000,4,1743
indep-ranks-rankwise,rank,8,10000,100000000,4,1806
indep-ranks-rankwise,rank,9,10000,100000000,4,1102
indep-ranks-rankwise,rank,0,100000,100000000,4,5645
indep-ranks-rankwise,rank,1,100000,100000000,4,5645
indep-ranks-rankwise,rank,2,100000,100000000,4,8845
indep-ranks-rankwise,rank,3,100000,100000000,4,7426
indep-ranks-rankwise,rank,4,100000,100000000,4,7282
indep-ranks-rankwise,rank,5,100000,100000000,4,7260
indep-ranks-rankwise,rank,6,100000,100000000,4,6506
indep-ranks-rankwise,rank,7,100000,100000000,4,7827
indep-ranks-rankwise,rank,8,100000,100000000,4,8275
indep-ranks-rankwise,rank,9,100000,100000000,4,7356
indep-ranks-rankwise,rank,0,1000000,100000000,4,24585
indep-ranks-rankwise,rank,1,1000000,100000000,4,24585
indep-ranks-rankwise,rank,2,1000000,100000000,4,46921
indep-ranks-rankwise,rank,3,1000000,100000000,4,30592
indep-ranks-rankwise,rank,4,1000000,100000000,4,40889
indep-ranks-rankwise,rank,5,1000000,100000000,4,23373
indep-ranks-rankwise,rank,6,1000000,100000000,4,43608
indep-ranks-rankwise,rank,7,1000000,100000000,4,49006
indep-ranks-rankwise,rank,8,1000000,100000000,4,24607
indep-ranks-rankwise,rank,9,1000000,100000000,4,56146
