numerOfPEs,name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
2,"BM_submitBlocks/1024/4/1048576/manual_time",40,17.6328,20.9882,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time",40,17.2916,20.6281,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time",40,17.3895,20.7135,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time",40,17.3599,20.6787,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time",40,17.2999,20.639,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time_mean",5,17.3947,20.7295,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time_median",5,17.3599,20.6787,ms,,,,,
2,"BM_submitBlocks/1024/4/1048576/manual_time_stddev",5,0.139216,0.148534,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time",49,14.3974,17.4907,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time",49,14.321,17.3971,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time",49,14.3022,17.3807,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time",49,14.2734,17.3531,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time",49,14.3151,17.4027,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time_mean",5,14.3218,17.4049,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time_median",5,14.3151,17.3971,ms,,,,,
2,"BM_submitBlocks/1048576/4/1048576/manual_time_stddev",5,0.0460642,0.0517117,ms,,,,,
